movie,tmdbid,imdbid,actor1,actor1_popularity,actor2,actor2_popularity,actor3,actor3_popularity,actor4,actor4_popularity,actor5,actor5_popularity
Tiny Times 2.0,211711,tt3086582,Yang Mi,16.341,Amber Kuo,6.146,Bea Hayden Kuo,4.679,Xie Yi-lin,3.5,Kai Ko,2.339
Switch,423988,tt5464234,Dan Stevens,29.073,Bérénice Marlohe,12.55,Charity Wakefield,4.578,Gijs Scholten van Aschat,3.087,Mike Reus,1.4
The Place Beyond the Pines,97367,tt1817273,Ryan Gosling,12.098,Eva Mendes,17.84,Bradley Cooper,38.912,Dane DeHaan,12.855,Emory Cohen,13.879
Parker,119283,tt1904996,Jason Statham,68.171,Jennifer Lopez,10.12,Nick Nolte,11.236,Michael Chiklis,11.284,Clifton Collins Jr.,5.105
The Big Wedding,87567,tt1931435,Robert De Niro,28.296,Diane Keaton,14.502,Amanda Seyfried,37.184,Susan Sarandon,22.136,Katherine Heigl,17.902
Badges of Fury,202220,tt2644714,Jet Li,28.972,Wen Zhang,4.852,Liu Shishi,6.93,Michelle Chen,12.034,Liu Yan,10.959
The World's End,107985,tt1213663,Simon Pegg,15.527,Nick Frost,11.519,Paddy Considine,10.345,Eddie Marsan,20.889,Martin Freeman,18.272
Grudge Match,64807,tt1661382,Robert De Niro,28.296,Sylvester Stallone,32.593,Alan Arkin,9.763,Jon Bernthal,24.637,Kevin Hart,14.271
The White Storm,233112,tt2957774,Nick Cheung,6.488,Lau Ching-wan,6.299,Louis Koo,16.886,Quan Yuan,2.816,Ben Lam,2.665
Tarzan,37135,tt0120855,Tony Goldwyn,8.646,Minnie Driver,9.448,Glenn Close,12.641,Alex D. Linz,5.492,Rosie O'Donnell,3.033
Secretly Greatly,199584,tt2967578,Kim Soo-hyun,5.562,Park Ki-woong,5.419,Lee Hyun-woo,7.972,Son Hyun-joo,4.77,Ko Chang-seok,5.663
"The Chef, The Actor, The Scoundrel",195300,tt2645044,Liu Ye,9.777,Zhang Hanyu,8.378,Huang Bo,13.595,Liang Jing,2.528,Wang Xun,3.871
Doraemon: Nobita's Secret Gadget Museum,218726,tt2768084,Wasabi Mizuta,6.349,Megumi Oohara,3.434,Yumi Kakazu,3.533,Subaru Kimura,15.999,Tomokazu Seki,12.709
Jobs,115782,tt2357129,Ashton Kutcher,15.04,Dermot Mulroney,22.46,Josh Gad,11.913,Lukas Haas,12.011,Matthew Modine,9.618
No Man's Land,34379,tt0093638,Charlie Sheen,12.08,D. B. Sweeney,11.883,Lara Harris,1.708,Randy Quaid,14.728,Bill Duke,11.887
Lupin III vs. Detective Conan: The Movie,239529,tt3335192,Kanichi Kurita,6.455,Minami Takayama,10.806,Kappei Yamaguchi,11.26,Wakana Yamazaki,3.604,Kiyoshi Kobayashi,3.343
Yolki 3,85317,tt2124096,Sergey Svetlakov,4.056,Ivan Urgant,6.29,Vera Brezhneva,7.219,Sergei Bezrukov,4.704,Vladimir Menshov,1.716
Don Jon,138697,tt2229499,Joseph Gordon-Levitt,20.585,Scarlett Johansson,38.188,Julianne Moore,18.698,Tony Danza,6.461,Glenne Headly,6.712
Antoine and Sebastian,370278,tt0069722,François Périer,1.697,Jacques Dutronc,6.916,Ottavia Piccolo,3.149,Keith Carradine,14.877,Marisa Pavan,3.701
Cold Eyes,204553,tt2969656,Sol Kyung-gu,13.75,Jung Woo-sung,8.045,Han Hyo-joo,24.008,Lee Jun-ho,7.343,Jin Kyung,9.706
"Like Father, Like Son",38322,tt1464174,Martin Lawrence,26.374,Brandon T. Jackson,8.079,Portia Doubleday,12.655,Mari Morrow,7.461,Faizon Love,12.523
Detective Conan: Private Eye in the Distant Sea,228805,tt3303446,Minami Takayama,10.806,Kappei Yamaguchi,11.26,Rikiya Koyama,7.883,Ko Shibasaki,13.234,Wakana Yamazaki,3.604
Dügün Dernek,246524,tt3347976,Ahmet Kural,1.266,Murat Cemcir,1.974,Rasim Öztekin,0.877,Devrim Yakut,6.986,Barış Yıldız,1.392
The Terror Live,209764,tt2990738,Ha Jung-woo,9.169,Kim Dae-myung,4.945,Lee Kyung-young,10.791,Jeon Hye-jin,4.528,Lee Da-wit,4.202
Hide and Seek,11096,tt0382077,Robert De Niro,28.296,Dakota Fanning,28.431,Famke Janssen,25.542,Elisabeth Shue,29.8,Amy Irving,4.12
