Release-Date,Movie,Revenue, Revenue1,NumTheatres,Production,UNK1,UNK2,UNK3
2011-06-24,Bad Teacher,"$100,292,856","$100,292,856",29,Sony Pictures Entertainment (SPE),,,
2011-06-29,Transformers: Dark of the Moon,"$352,390,543","$352,390,543",2,DreamWorks,,,
2011-07-01,Larry Crowne,"$35,608,245","$35,608,245",97,Universal Pictures,,,
2011-07-01,Monte Carlo,"$23,186,769","$23,186,769",117,Twentieth Century Fox,,,
2011-07-08,Horrible Bosses,"$117,538,559","$117,538,559",23,Warner Bros.,,,
2011-07-08,Zookeeper,"$80,360,843","$80,360,843",40,Sony Pictures Entertainment (SPE),,,
2011-07-15,Harry Potter and the Deathly Hallows: Part 2,"$381,011,219","$381,011,219",1,Warner Bros.,,,
2011-07-15,Winnie the Pooh,"$26,692,846","$26,692,846",109,Walt Disney Studios Motion Pictures,,,
2011-07-15,Zindagi Na Milegi Dobara,"$3,108,485","$3,108,485",183,Eros Worldwide,,,
2011-07-22,Captain America: The First Avenger,"$176,654,505","$176,654,505",10,Paramount Pictures,,,
2011-07-22,Friends with Benefits,"$55,802,754","$55,802,754",58,Screen Gems,,,
2011-07-22,Elle s'appelait Sarah,"$7,693,187","$7,693,187",158,The Weinstein Company,,,
2011-07-29,The Smurfs,"$142,614,158","$142,614,158",17,Sony Pictures Entertainment (SPE),,,
2011-07-29,Cowboys & Aliens,"$100,240,551","$100,240,551",30,Universal Pictures,,,
2011-07-29,Crazy,Stupid,Love.,"$84,351,197","$84,351,197",36,Warner Bros.,
2011-07-29,The Guard,"$5,334,881","$5,360,274",163,Sony Pictures Classics,,,
2011-08-05,Rise of the Planet of the Apes,"$176,760,185","$176,760,185",9,Twentieth Century Fox,,,
